Date,GGAL,MELI,SPY,YPF
2023-09-07,14.264993667602539,1436.3499755859375,428.5679016113281,13.09000015258789
2023-09-08,13.854427337646484,1428.18994140625,429.2133483886719,12.65999984741211
2023-09-11,13.749602317810059,1422.9300537109375,432.0361022949219,12.069999694824219
2023-09-12,13.950518608093262,1399.1400146484375,429.6661376953125,12.449999809265137
2023-09-13,14.020400047302246,1397.4599609375,430.1671142578125,12.84000015258789
2023-09-14,14.177637100219727,1383.4300537109375,433.8761291503906,12.930000305175781
2023-09-15,13.863162994384766,1396.6600341796875,428.648681640625,12.710000038146973
2023-09-18,14.247520446777344,1383.72998046875,428.900146484375,13.079999923706055
2023-09-19,13.793278694152832,1342.6400146484375,428.0106201171875,12.9399995803833
2023-09-20,13.373976707458496,1326.3399658203125,424.07574462890625,12.789999961853027
2023-09-21,13.059499740600586,1293.280029296875,417.0665283203125,13.119999885559082
2023-09-22,12.887840270996094,1276.9599609375,416.128662109375,12.869999885559082
2023-09-25,12.579728126525879,1290.530029296875,417.87860107421875,12.579999923706055
2023-09-26,12.183587074279785,1268.6199951171875,411.73944091796875,12.210000038146973
2023-09-27,12.113161087036133,1256.52001953125,411.9037780761719,12.6899995803833
2023-09-28,12.20999526977539,1274.1400146484375,414.291748046875,12.619999885559082
2023-09-29,11.488136291503906,1267.8800048828125,413.2863464355469,12.25
2023-10-02,11.136007308959961,1259.4100341796875,413.1219482421875,12.119999885559082
2023-10-03,10.669441223144531,1228.280029296875,407.5918884277344,11.640000343322754
2023-10-04,10.801487922668457,1231.56005859375,410.5599365234375,11.460000038146973
2023-10-05,11.162419319152832,1214.3800048828125,410.4052734375,11.489999771118164
2023-10-06,11.241647720336914,1237.530029296875,415.2779235839844,11.399999618530273
2023-10-09,10.898324012756348,1238.3800048828125,417.93658447265625,11.970000267028809
2023-10-10,10.590213775634766,1258.31005859375,420.1119384765625,12.079999923706055
2023-10-11,10.915929794311523,1243.949951171875,421.83282470703125,12.5
2023-10-12,10.651835441589355,1229.9599609375,419.2610778808594,12.859999656677246
